filename,bank,statement_type,format,source_url,authenticity,notes
synthetic_statement_export_01.csv,(generic),transaction_export,CSV,https://raw.githubusercontent.com/sebastienrousseau/bankstatementparser/22628fcd62cfc1f5d5d08e39f3da390432ab100e/tests/test_data/sample_statement.csv,sample-synthetic,"Generic synthetic statement fixture from an open-source multi-format bank-statement parser (Apache-2.0). 7 cols (Date,Description,Amount,Currency,Balance,Account,Reference); ISO dates; EUR; includes a negative amount (Rent -1200.00) alongside a positive credit (Salary); IBAN-style account DE123456789."
synthetic_split_amounts_01.csv,(generic),transaction_export,CSV,https://raw.githubusercontent.com/sebastienrousseau/bankstatementparser/22628fcd62cfc1f5d5d08e39f3da390432ab100e/tests/test_data/sample_split_amounts.csv,sample-synthetic,"Generic synthetic fixture, SEMICOLON-delimited with European decimal-comma amounts and SEPARATE Credit/Debit columns (Booking Date;Details;Credit;Debit;CCY;Running Balance;IBAN;Ref). EUR; IBAN DE4455667788. Good delimiter/locale edge case. Apache-2.0 parser test data."
synthetic_statement_01.ofx,(generic),ofx_export,OFX,https://raw.githubusercontent.com/sebastienrousseau/bankstatementparser/22628fcd62cfc1f5d5d08e39f3da390432ab100e/tests/test_data/sample.ofx,sample-synthetic,"Generic synthetic OFX (OFXSGML v102) bank statement download; CURDEF EUR; two STMTTRN records (CREDIT Salary 1250.50, DEBIT Groceries -80.25) with FITID/NAME/MEMO. Apache-2.0 parser test data."
synthetic_statement_01.qfx,(generic),qfx_export,QFX,https://raw.githubusercontent.com/sebastienrousseau/bankstatementparser/22628fcd62cfc1f5d5d08e39f3da390432ab100e/tests/test_data/sample.qfx,sample-synthetic,Generic synthetic QFX (Quicken OFXSGML) statement download; CURDEF USD; single DEBIT STMTTRN (Coffee -15.00). Apache-2.0 parser test data.
synthetic_statement_01.mt940,(generic),mt940_statement,MT940,https://raw.githubusercontent.com/sebastienrousseau/bankstatementparser/22628fcd62cfc1f5d5d08e39f3da390432ab100e/tests/test_data/sample.mt940,sample-synthetic,"Generic synthetic SWIFT MT940 statement (:20:/:25:/:28C:/:60F:/:61:/:86:/:62F: tags); EUR; opening balance 1000,00; one credit (Salary 1250,50) and one debit (Groceries 80,25); IBAN NL91ABNA0417164300. Apache-2.0 parser test data."
synthetic_edge_mixed_currency_01.csv,(generic),edge_case,CSV,https://raw.githubusercontent.com/ConvertMyStatements/Bank-Statement-CSV-Spec/989ef24818cdb86d2150d4ddc9e505e2a21f1918/samples/edge-cases/edge-mixed_currency.csv,sample-synthetic,"Edge-case fixture: MIXED currencies in one file (USD supplier charge, CAD rent) with a currency column. 2 rows. Zera Books CC BY 4.0."
synthetic_edge_reversed_signs_01.csv,(generic),edge_case,CSV,https://raw.githubusercontent.com/ConvertMyStatements/Bank-Statement-CSV-Spec/989ef24818cdb86d2150d4ddc9e505e2a21f1918/samples/edge-cases/edge-reversed_signs.csv,sample-synthetic,Edge-case fixture: sign/direction conflict - negative amount tagged credit and positive amount tagged debit (debit_credit indicator disagrees with amount sign). 2 rows. Zera Books CC BY 4.0.
synthetic_edge_duplicate_transactions_01.csv,(generic),edge_case,CSV,https://raw.githubusercontent.com/ConvertMyStatements/Bank-Statement-CSV-Spec/989ef24818cdb86d2150d4ddc9e505e2a21f1918/samples/edge-cases/edge-duplicate_transactions.csv,sample-synthetic,Edge-case fixture: duplicate transactions sharing the same date/amount/unique_id (EDGE-DUP-001) - dedup test. Includes running balance. 2 rows. Zera Books CC BY 4.0.
synthetic_edge_long_memo_01.csv,(generic),edge_case,CSV,https://raw.githubusercontent.com/ConvertMyStatements/Bank-Statement-CSV-Spec/989ef24818cdb86d2150d4ddc9e505e2a21f1918/samples/edge-cases/edge-long_memo.csv,sample-synthetic,Edge-case fixture: very long quoted memo field containing commas and an em-dash (multi-cost-centre travel reimbursement). Quoting/overflow test. 1 row. Zera Books CC BY 4.0.
synthetic_edge_summary_rows_01.csv,(generic),edge_case,CSV,https://raw.githubusercontent.com/ConvertMyStatements/Bank-Statement-CSV-Spec/989ef24818cdb86d2150d4ddc9e505e2a21f1918/samples/edge-cases/edge-summary_rows.csv,sample-synthetic,Edge-case fixture: statement summary/total rows interleaved as transactions (Total debits / Total credits). Test for filtering non-transaction rows. 2 rows. Zera Books CC BY 4.0.
synthetic_edge_trailing_footer_01.csv,(generic),edge_case,CSV,https://raw.githubusercontent.com/ConvertMyStatements/Bank-Statement-CSV-Spec/989ef24818cdb86d2150d4ddc9e505e2a21f1918/samples/edge-cases/edge-trailing_footer.csv,sample-synthetic,Edge-case fixture: a genuine POS row followed by a trailing PDF-footer total row (FOOTER-TOTAL-DEBITS). Footer-stripping test. 2 rows. Zera Books CC BY 4.0.
